lat,lng,date,crime
40.68581585,-73.83257854,1/4/15,ROBBERY
40.71813231,-73.75949353,1/4/15,ROBBERY
40.67398949,-73.89930888,1/4/15,ROBBERY
40.67298525,-73.95020929,1/4/15,ROBBERY
40.82162946,-73.90233,1/4/15,ROBBERY
40.71069732,-73.77470962,1/4/15,ROBBERY
40.81937332,-73.89306978,1/4/15,ROBBERY
40.67680796,-73.94846152,1/4/15,ROBBERY
40.58374607,-73.94308267,1/5/15,ROBBERY
40.66724619,-73.88258251,1/5/15,ROBBERY
40.88745131,-73.84760779,1/5/15,RAPE
40.75761667,-73.78058976,1/5/15,ROBBERY
40.70150283,-73.90546696,1/5/15,ROBBERY
40.73327646,-74.00507465,1/5/15,ROBBERY
40.70177139,-73.92758916,1/5/15,ROBBERY
40.69897398,-73.9186339,1/5/15,ROBBERY
40.85307528,-73.89874498,1/5/15,ROBBERY
40.69341398,-73.90885373,1/5/15,ROBBERY
40.69192696,-73.92085659,1/5/15,ROBBERY
40.89983254,-73.84345929,1/5/15,ROBBERY
40.89828288,-73.85049481,1/5/15,ROBBERY
40.57982924,-73.97325011,1/5/15,ROBBERY
40.82173633,-73.89286726,1/5/15,ROBBERY
40.58932238,-73.98140138,1/5/15,ROBBERY
40.65076912,-73.95047814,1/5/15,ROBBERY
40.67655127,-73.87758736,1/5/15,ROBBERY
40.86276336,-73.90108016,1/5/15,ROBBERY
40.57311288,-73.99330258,1/5/15,ROBBERY
40.81632558,-73.91861688,1/5/15,ROBBERY
40.82934927,-73.89188659,1/5/15,ROBBERY
40.65734025,-73.91727185,1/5/15,ROBBERY
40.82210837,-73.86315274,1/5/15,ROBBERY
40.84681919,-73.86097663,1/5/15,ROBBERY
40.8492469,-73.86920911,1/5/15,ROBBERY
40.82482363,-73.93675929,1/5/15,ROBBERY
40.82928502,-73.87452401,1/5/15,ROBBERY
40.86666342,-73.85003442,1/5/15,ROBBERY
40.64839037,-73.95279706,1/5/15,ROBBERY
40.86905853,-73.87963015,1/5/15,ROBBERY
40.82524118,-73.94269184,1/5/15,ROBBERY
40.66819671,-73.89782887,1/5/15,ROBBERY
40.5797802,-73.99842466,1/5/15,ROBBERY
40.84912361,-73.84706666,1/5/15,ROBBERY
40.68856127,-73.91244457,1/5/15,ROBBERY
40.85409235,-73.86771751,1/5/15,ROBBERY
40.83820994,-73.92370745,1/5/15,ROBBERY
40.663302,-73.92542498,1/5/15,ROBBERY
40.70243943,-73.81715468,1/5/15,ROBBERY
40.69964406,-73.80311886,1/5/15,ROBBERY
40.68951569,-73.97013389,1/5/15,ROBBERY
40.65595686,-73.91724113,1/5/15,ROBBERY
40.88745131,-73.84760779,1/5/15,ROBBERY
40.67622312,-73.74091214,1/5/15,ROBBERY
40.74362154,-73.88754356,1/5/15,ROBBERY
40.66346924,-73.76848197,1/5/15,ROBBERY
